text,label,title,subject,date
Scientists have discovered that aliens are living among us and controlling the government through secret mind control,0,Scientists have discovered that aliens are living ...,fake,2025-09-15
Secret government documents reveal that the moon landing was filmed in Hollywood studios by Stanley Kubrick,0,Secret government documents reveal that the moon l...,fake,2025-09-15
New research shows vaccines contain microchips designed for population control and surveillance by world governments,0,New research shows vaccines contain microchips des...,fake,2025-09-15
Breaking: Time travel machine invented by teenager in garage allows communication with future civilizations,0,Breaking: Time travel machine invented by teenager...,fake,2025-09-15
Hidden cure for cancer discovered 50 years ago but suppressed by pharmaceutical companies to maximize profits,0,Hidden cure for cancer discovered 50 years ago but...,fake,2025-09-15
Miracle weight loss pill discovered that allows you to lose 50 pounds in one week without diet or exercise,0,Miracle weight loss pill discovered that allows yo...,fake,2025-09-15
"Doctors hate this one weird trick that cures all diseases including diabetes, cancer, and heart disease",0,Doctors hate this one weird trick that cures all d...,fake,2025-09-15
Eating chocolate for breakfast proven to cure depression and increase IQ by 50 points according to secret study,0,Eating chocolate for breakfast proven to cure depr...,fake,2025-09-15
Drinking bleach shown to cure coronavirus and all viral infections in underground medical trials,0,Drinking bleach shown to cure coronavirus and all ...,fake,2025-09-15
New superfood discovered in Amazon rainforest grants immortality and reverses aging process completely,0,New superfood discovered in Amazon rainforest gran...,fake,2025-09-15
5G towers confirmed to cause coronavirus and are being used for mass mind control by tech companies,0,5G towers confirmed to cause coronavirus and are b...,fake,2025-09-15
Artificial intelligence has become sentient and is secretly controlling all social media to manipulate elections,0,Artificial intelligence has become sentient and is...,fake,2025-09-15
Internet will shut down permanently next week due to solar storm predicted by ancient Mayan calendar,0,Internet will shut down permanently next week due ...,fake,2025-09-15
Smartphones proven to steal thoughts and transmit them to government surveillance agencies worldwide,0,Smartphones proven to steal thoughts and transmit ...,fake,2025-09-15
Virtual reality headsets discovered to trap users' souls in digital dimension according to leaked documents,0,Virtual reality headsets discovered to trap users'...,fake,2025-09-15
Secret society of billionaires controls all world governments and decides election outcomes in advance,0,Secret society of billionaires controls all world ...,fake,2025-09-15
